,Order Date,Product Name,Category,Region,Quantity,Sales,Profit
38,2024-03-26,Mouse,Accessories,West,5,5320,716.91
39,2023-09-20,Headphones,Accessories,East,4,804,121.51
40,2023-05-25,Laptop,Electronics,North,8,1224,246.77
41,2022-12-04,Headphones,Accessories,South,9,8667,781.78
42,2022-06-10,Monitor,Accessories,West,3,3018,320.11
43,2023-02-05,Laptop,Electronics,West,5,4325,1023.39
44,2024-01-20,Laptop,Electronics,South,3,1557,181.08
45,2022-01-27,Monitor,Accessories,South,6,3672,1002.5
46,2023-03-29,Mouse,Accessories,West,1,333,72.34
47,2022-01-17,Headphones,Accessories,West,4,2384,577.26
48,2024-11-26,Mouse,Accessories,West,6,888,210.39
49,2024-09-19,Laptop,Electronics,West,5,3280,954.17
50,2023-07-20,Mouse,Accessories,South,7,1239,177.39
51,2024-05-03,Headphones,Accessories,East,8,5880,436.85
52,2022-09-03,Smartphone,Electronics,West,2,1668,437.3
53,2024-07-09,Printer,Office,West,7,4109,1037.64
54,2022-11-17,Smartwatch,Electronics,West,7,595,148.5
55,2023-12-28,Headphones,Accessories,East,7,8155,1587.91
56,2022-05-30,Monitor,Accessories,South,3,1872,553.1
57,2024-04-17,Smartwatch,Electronics,East,6,2124,126.03
58,2024-09-30,Monitor,Accessories,West,5,5210,1338.8
59,2024-06-02,Mouse,Accessories,South,7,5761,362.48
60,2022-09-26,Headphones,Accessories,South,7,6895,1596.35
61,2024-12-17,Smartwatch,Electronics,East,3,2118,317.08
62,2024-10-09,Smartwatch,Electronics,North,5,830,58.28
63,2023-07-14,Smartwatch,Electronics,North,1,851,93.56
64,2023-12-05,Tablet,Electronics,East,5,4730,1365.63
65,2022-06-03,Mouse,Accessories,West,6,5460,845.75
66,2024-12-28,Headphones,Accessories,East,5,5795,310.6
67,2022-08-06,Laptop,Electronics,South,4,2008,338.44
68,2023-06-06,Mouse,Accessories,South,7,2842,425.24
69,2024-02-01,Mouse,Accessories,East,4,3404,392.22
70,2023-05-31,Smartwatch,Electronics,West,1,1065,228.63
71,2024-06-14,Tablet,Electronics,West,7,2149,121.69
72,2024-08-14,Keyboard,Accessories,East,8,5912,1143.04
73,2023-02-01,Mouse,Accessories,West,3,3348,331.28
74,2024-04-28,Smartphone,Electronics,South,3,2409,531.79
75,2024-04-05,Tablet,Electronics,North,2,328,39.51
76,2024-01-31,Smartphone,Electronics,West,8,6224,1561.42
77,2024-01-09,Smartwatch,Electronics,North,5,2530,486.09
78,2022-04-06,Headphones,Accessories,West,4,4108,462.17
79,2024-05-22,Printer,Office,South,5,1640,391.36
80,2023-12-30,Laptop,Electronics,South,1,111,19.33
81,2022-03-17,Headphones,Accessories,North,1,445,128.89
82,2022-05-24,Printer,Office,North,4,3600,623.72
83,2024-06-09,Mouse,Accessories,North,3,1335,176.44
84,2024-12-01,Keyboard,Accessories,South,5,3090,242.15
85,2023-10-20,Printer,Office,East,5,3910,538.52
86,2024-03-05,Camera,Electronics,South,1,219,32.67
87,2022-12-05,Smartphone,Electronics,West,5,390,27.77
88,2022-08-05,Laptop,Electronics,North,6,3294,359.61
89,2023-03-21,Keyboard,Accessories,West,4,4572,1038.05
90,2022-02-08,Monitor,Accessories,South,7,980,109.94
91,2023-04-01,Headphones,Accessories,North,2,2262,532.12
92,2022-12-14,Camera,Electronics,South,7,7518,1655.91
93,2022-05-14,Camera,Electronics,South,1,873,158.97
94,2022-02-16,Mouse,Accessories,North,6,1512,423.03
95,2024-08-28,Laptop,Electronics,West,1,705,165.16
96,2023-10-30,Smartwatch,Electronics,North,8,3256,533.7
97,2023-06-24,Tablet,Electronics,West,4,556,81.77
98,2023-05-17,Mouse,Accessories,East,9,7101,2105.82
99,2023-04-06,Laptop,Electronics,West,9,8802,1344.96
100,2023-03-26,Headphones,Accessories,South,6,5592,1294.16
101,2024-10-12,Tablet,Electronics,North,2,1852,168.92
102,2022-06-26,Monitor,Accessories,East,1,195,57.88
103,2022-04-15,Mouse,Accessories,East,9,7884,2054.02
104,2023-12-10,Laptop,Electronics,East,5,4360,1160.55
105,2024-09-23,Mouse,Accessories,North,6,4920,929.18
106,2022-01-01,Mouse,Accessories,East,3,3474,565.0
107,2022-02-03,Keyboard,Accessories,West,1,930,222.5
108,2023-03-14,Tablet,Electronics,South,7,1421,248.02
109,2022-08-24,Headphones,Accessories,North,2,634,161.1
110,2024-07-07,Camera,Electronics,East,1,673,114.42
111,2022-04-13,Mouse,Accessories,South,5,3135,787.7
112,2024-05-08,Smartphone,Electronics,East,6,882,184.48
113,2024-09-10,Smartphone,Electronics,East,4,1192,212.77
114,2024-06-18,Printer,Office,South,3,390,112.08
115,2024-09-10,Tablet,Electronics,North,1,834,95.54
116,2022-05-06,Smartphone,Electronics,East,6,612,83.75
117,2024-06-18,Headphones,Accessories,West,9,8073,710.23
118,2023-10-29,Keyboard,Accessories,North,8,2640,723.88
119,2023-11-13,Smartphone,Electronics,North,3,3234,440.7
120,2022-08-21,Monitor,Accessories,West,5,4435,355.51
121,2024-03-04,Smartwatch,Electronics,North,2,2302,305.07
122,2022-04-17,Camera,Electronics,East,6,1728,307.44
123,2023-12-20,Laptop,Electronics,East,4,228,54.05
124,2022-03-19,Tablet,Electronics,West,6,3450,705.74
125,2024-07-07,Smartphone,Electronics,South,8,7456,1702.48
126,2023-04-30,Smartphone,Electronics,West,6,4728,705.85
127,2024-03-22,Smartwatch,Electronics,North,7,945,124.62
128,2022-03-08,Laptop,Electronics,North,4,296,65.05
129,2023-09-15,Smartphone,Electronics,West,4,640,149.89
130,2023-03-01,Tablet,Electronics,North,1,797,65.27
131,2023-10-24,Monitor,Accessories,North,4,1456,431.89
132,2024-04-22,Monitor,Accessories,South,6,4038,364.11
133,2023-06-27,Tablet,Electronics,West,7,5656,355.81
134,2023-04-13,Mouse,Accessories,West,4,3876,302.37
135,2023-05-19,Keyboard,Accessories,South,6,1002,114.7
136,2024-11-15,Headphones,Accessories,East,9,2187,413.76
137,2023-12-25,Mouse,Accessories,North,6,7146,1627.42
138,2022-03-31,Keyboard,Accessories,South,1,189,14.88
139,2024-04-24,Monitor,Accessories,East,5,940,266.02
140,2022-01-10,Headphones,Accessories,North,1,951,127.58
141,2022-11-17,Printer,Office,East,2,124,27.42
142,2024-06-29,Mouse,Accessories,West,9,7506,594.28
143,2022-11-14,Monitor,Accessories,West,7,8176,2308.76
144,2023-08-11,Smartphone,Electronics,East,5,2125,632.68
145,2024-05-22,Headphones,Accessories,North,1,967,59.98
146,2022-03-19,Headphones,Accessories,South,5,270,29.41
147,2022-10-23,Keyboard,Accessories,West,9,10035,1486.3
148,2023-02-26,Printer,Office,North,8,6792,1125.23
149,2024-10-03,Printer,Office,East,1,714,99.13
150,2022-07-17,Smartphone,Electronics,South,5,765,157.64
151,2024-11-04,Headphones,Accessories,East,7,4221,358.02
152,2023-02-24,Laptop,Electronics,North,4,2108,576.48
153,2024-08-08,Monitor,Accessories,North,9,10530,2387.63
154,2024-05-14,Keyboard,Accessories,South,6,3396,914.17
155,2022-01-15,Monitor,Accessories,North,4,1060,213.05
156,2022-05-10,Tablet,Electronics,East,5,480,73.07
157,2022-03-10,Headphones,Accessories,West,3,2529,285.65
158,2022-01-23,Smartwatch,Electronics,East,8,4792,511.97
159,2024-09-19,Smartwatch,Electronics,East,8,8056,605.8
160,2024-06-06,Tablet,Electronics,North,4,4228,947.76
161,2024-10-10,Tablet,Electronics,East,1,653,93.78
162,2024-03-24,Tablet,Electronics,North,9,7452,1212.51
163,2023-07-21,Mouse,Accessories,East,4,4128,1156.71
164,2022-07-21,Tablet,Electronics,West,5,5090,1201.56
165,2022-09-01,Camera,Electronics,North,5,4930,387.33
166,2023-04-20,Smartwatch,Electronics,South,6,2610,434.37
167,2023-12-11,Laptop,Electronics,North,3,2139,415.84
168,2024-09-29,Tablet,Electronics,South,1,226,55.4
169,2023-11-20,Smartwatch,Electronics,West,2,2244,212.08
170,2023-07-15,Monitor,Accessories,East,6,3150,578.87
171,2023-12-24,Laptop,Electronics,South,7,3388,347.19
172,2023-08-13,Laptop,Electronics,East,8,8736,580.31
173,2022-04-24,Smartphone,Electronics,South,2,1102,176.53
174,2024-07-13,Monitor,Accessories,East,3,2640,199.97
175,2022-06-11,Printer,Office,West,3,2547,300.74
176,2024-10-28,Laptop,Electronics,North,7,728,64.82
177,2022-11-24,Camera,Electronics,South,7,3444,607.44
178,2024-10-03,Camera,Electronics,West,5,3140,853.66
179,2024-03-24,Smartphone,Electronics,East,3,435,129.27
180,2024-06-28,Keyboard,Accessories,East,4,856,72.99
181,2022-05-31,Printer,Office,North,2,112,23.33
182,2024-03-25,Headphones,Accessories,North,3,2247,507.79
183,2023-01-31,Keyboard,Accessories,West,2,1512,298.73
184,2024-06-23,Mouse,Accessories,South,5,4915,1196.6
185,2023-08-16,Mouse,Accessories,South,3,2709,663.54
186,2023-06-10,Tablet,Electronics,North,7,1239,118.36
187,2023-05-09,Tablet,Electronics,West,2,572,86.16
188,2022-05-08,Smartwatch,Electronics,North,2,1708,93.25
189,2024-11-06,Smartwatch,Electronics,North,4,360,42.66
190,2022-12-08,Camera,Electronics,North,6,3822,388.34
191,2022-09-25,Camera,Electronics,North,6,4680,932.97
192,2024-07-10,Camera,Electronics,North,5,2520,487.18
193,2024-03-29,Smartwatch,Electronics,North,2,2138,619.29
194,2022-01-11,Keyboard,Accessories,West,3,2529,169.6
195,2022-04-08,Keyboard,Accessories,East,1,236,29.33
196,2024-01-21,Tablet,Electronics,West,6,2730,636.48
197,2023-04-27,Headphones,Accessories,North,3,3021,872.49
198,2024-11-06,Smartwatch,Electronics,North,2,244,16.78
199,2022-05-11,Camera,Electronics,South,8,728,120.06
200,2022-10-02,Mouse,Accessories,North,3,453,89.49
201,2022-01-12,Laptop,Electronics,South,1,379,84.38
202,2023-01-09,Tablet,Electronics,West,3,2130,510.69
203,2023-05-04,Monitor,Accessories,North,8,4120,710.11
204,2024-09-07,Smartwatch,Electronics,South,7,3150,299.7
205,2022-05-17,Smartwatch,Electronics,East,7,2688,603.07
206,2023-08-17,Tablet,Electronics,East,2,1752,501.19
207,2023-09-07,Keyboard,Accessories,North,7,7308,948.4
208,2022-05-11,Tablet,Electronics,North,3,2007,160.84
209,2023-05-12,Tablet,Electronics,West,7,7224,479.23
210,2023-05-08,Monitor,Accessories,South,9,6939,1249.31
211,2023-02-18,Smartphone,Electronics,East,7,5516,1475.67
212,2022-01-29,Printer,Office,South,2,2224,116.47
213,2023-01-12,Laptop,Electronics,South,5,3985,824.4
214,2022-01-03,Camera,Electronics,North,7,2723,638.26
215,2022-10-20,Tablet,Electronics,North,2,746,170.75
216,2024-08-21,Laptop,Electronics,West,5,3170,245.25
217,2023-12-11,Smartwatch,Electronics,East,5,550,63.11
218,2022-08-14,Tablet,Electronics,North,8,480,132.45
219,2024-06-03,Printer,Office,East,4,3284,354.4
220,2024-01-23,Smartwatch,Electronics,South,2,1748,183.75
221,2023-11-20,Headphones,Accessories,North,8,824,240.84
222,2022-03-03,Headphones,Accessories,North,4,1872,448.46
223,2024-02-20,Tablet,Electronics,West,3,627,103.98
224,2024-08-09,Camera,Electronics,East,9,5661,1104.02
225,2022-06-19,Camera,Electronics,North,3,2910,765.47
226,2024-09-01,Tablet,Electronics,South,9,9036,1087.46
227,2024-08-30,Tablet,Electronics,West,5,4815,338.31
228,2022-08-12,Mouse,Accessories,South,1,1187,206.28
229,2022-08-04,Headphones,Accessories,East,3,3339,732.92
230,2024-02-20,Tablet,Electronics,East,1,620,165.43
231,2023-02-26,Camera,Electronics,West,5,2025,414.42
232,2024-11-20,Printer,Office,East,5,3030,811.92
233,2023-08-12,Smartwatch,Electronics,North,5,655,166.69
234,2022-01-17,Printer,Office,West,2,2238,294.54
235,2023-04-12,Smartphone,Electronics,South,8,3312,811.31
236,2023-07-26,Printer,Office,East,9,9387,1271.64
237,2024-01-01,Mouse,Accessories,West,6,5790,1285.21
238,2023-12-06,Laptop,Electronics,South,6,2700,527.97
239,2023-12-05,Smartwatch,Electronics,East,8,2072,555.06
240,2024-10-27,Keyboard,Accessories,North,3,2991,716.54
241,2024-08-04,Laptop,Electronics,East,6,5568,958.59
242,2023-02-01,Smartwatch,Electronics,North,7,5509,1648.74
243,2024-06-02,Printer,Office,West,7,5922,1323.1
244,2024-04-28,Smartphone,Electronics,South,4,4380,362.81
245,2022-03-25,Tablet,Electronics,South,5,1760,272.68
246,2024-10-05,Headphones,Accessories,North,9,5571,1523.81
247,2024-12-19,Tablet,Electronics,South,2,1082,182.1
248,2022-07-18,Camera,Electronics,East,1,569,138.11
249,2023-06-11,Mouse,Accessories,North,8,3416,697.42
250,2024-10-13,Printer,Office,West,1,570,57.07
251,2023-08-07,Monitor,Accessories,East,6,3300,386.92
252,2022-12-04,Laptop,Electronics,South,8,2584,568.77
253,2024-02-18,Monitor,Accessories,South,9,7650,2204.44
254,2024-12-05,Headphones,Accessories,West,8,3600,272.51
255,2023-12-15,Monitor,Accessories,West,6,846,190.87
256,2023-08-12,Smartphone,Electronics,West,1,51,9.36
257,2024-05-20,Smartwatch,Electronics,South,6,7056,586.91
258,2024-06-05,Smartwatch,Electronics,West,2,384,38.41
259,2022-01-09,Laptop,Electronics,South,8,2928,663.54
260,2023-12-17,Camera,Electronics,West,7,1904,352.86
261,2022-09-08,Tablet,Electronics,East,2,2314,312.07
262,2022-01-22,Printer,Office,South,4,1028,192.13
263,2024-09-04,Headphones,Accessories,South,9,8307,1326.23
264,2024-01-20,Printer,Office,West,9,1539,203.54
265,2022-11-03,Tablet,Electronics,West,7,2506,537.98
266,2023-07-03,Smartphone,Electronics,West,6,5778,1232.54
267,2024-01-25,Tablet,Electronics,East,9,10188,2165.78
268,2024-05-11,Monitor,Accessories,North,1,952,157.7
269,2024-01-02,Smartwatch,Electronics,West,8,3624,750.86
270,2023-02-24,Keyboard,Accessories,South,8,7968,1551.12
271,2024-07-20,Mouse,Accessories,South,2,1254,250.09
272,2023-06-14,Printer,Office,West,3,705,196.05
273,2022-04-10,Mouse,Accessories,West,1,916,223.5
274,2024-10-01,Printer,Office,North,2,848,129.96
275,2022-05-10,Monitor,Accessories,East,8,2240,313.17
276,2022-01-28,Monitor,Accessories,South,1,940,120.35
277,2023-04-05,Headphones,Accessories,West,5,1550,203.51
278,2023-09-22,Keyboard,Accessories,South,7,2352,256.4
279,2024-08-29,Smartwatch,Electronics,North,9,1638,183.75
280,2023-11-18,Camera,Electronics,North,6,7164,1442.72
281,2023-09-12,Mouse,Accessories,East,1,205,54.54
282,2023-05-26,Keyboard,Accessories,North,2,766,49.23
283,2023-04-30,Keyboard,Accessories,North,1,168,17.84
284,2024-11-01,Mouse,Accessories,South,1,1058,207.55
285,2022-05-06,Keyboard,Accessories,South,5,1455,423.81
286,2023-05-10,Camera,Electronics,East,2,2224,364.04
287,2022-11-04,Smartphone,Electronics,West,7,1400,80.49
288,2022-05-09,Smartphone,Electronics,East,7,7567,2213.18
289,2022-11-07,Tablet,Electronics,East,6,3396,987.68
290,2023-08-11,Smartwatch,Electronics,East,2,704,135.63
291,2024-10-21,Tablet,Electronics,East,9,7767,2172.19
292,2024-10-06,Mouse,Accessories,West,5,2050,157.13
293,2023-08-08,Monitor,Accessories,North,9,10458,2799.48
294,2022-01-19,Camera,Electronics,South,4,4700,619.26
295,2024-04-30,Smartphone,Electronics,North,2,892,222.51
296,2023-12-26,Laptop,Electronics,East,8,6968,1479.09
297,2024-04-07,Laptop,Electronics,North,7,1344,300.88
298,2022-10-18,Camera,Electronics,West,1,354,65.99
299,2024-04-21,Monitor,Accessories,South,3,3051,662.23
300,2024-03-26,Camera,Electronics,South,3,402,106.87
301,2022-10-31,Monitor,Accessories,North,5,3570,517.82
302,2023-03-03,Keyboard,Accessories,North,7,3829,876.35
303,2023-02-03,Mouse,Accessories,North,7,4676,242.64
304,2023-04-15,Keyboard,Accessories,East,3,1119,317.36
305,2023-05-09,Smartphone,Electronics,East,4,4228,764.3
306,2022-01-02,Headphones,Accessories,North,8,1240,251.2
307,2024-11-28,Keyboard,Accessories,North,9,3591,342.18
308,2022-02-05,Printer,Office,West,8,3952,451.08
309,2024-06-05,Keyboard,Accessories,South,6,3648,1050.08
310,2024-11-15,Monitor,Accessories,North,5,3875,768.74
311,2023-11-13,Smartwatch,Electronics,West,8,3416,478.9
312,2022-02-19,Tablet,Electronics,West,1,908,222.58
313,2024-05-06,Headphones,Accessories,South,4,4532,987.32
314,2023-08-04,Headphones,Accessories,East,4,4168,650.15
315,2023-09-23,Laptop,Electronics,North,3,3543,941.37
316,2024-09-14,Laptop,Electronics,East,6,5124,1078.57
317,2023-03-17,Smartwatch,Electronics,South,9,5751,1196.23
318,2023-09-29,Camera,Electronics,East,2,624,139.64
319,2023-12-01,Camera,Electronics,South,1,508,151.29
320,2023-09-13,Headphones,Accessories,South,4,4700,914.6
321,2022-03-14,Keyboard,Accessories,West,8,3216,639.78
322,2023-07-15,Laptop,Electronics,West,6,2844,581.0
323,2022-05-29,Smartphone,Electronics,West,5,2385,258.6
324,2023-01-16,Monitor,Accessories,South,8,928,170.05
325,2023-09-06,Headphones,Accessories,North,6,4656,673.35
326,2023-03-29,Headphones,Accessories,North,2,330,21.46
327,2023-11-01,Camera,Electronics,North,7,1799,274.11
328,2022-08-25,Printer,Office,East,1,1029,173.61
329,2022-12-30,Headphones,Accessories,North,8,5432,1619.39
330,2024-09-04,Camera,Electronics,West,5,5785,1191.11
331,2024-01-08,Printer,Office,North,1,1062,272.42
332,2022-12-27,Keyboard,Accessories,North,1,163,22.07
333,2024-04-14,Smartphone,Electronics,West,9,9162,1625.62
334,2023-02-10,Printer,Office,East,4,1440,130.24
335,2023-07-15,Monitor,Accessories,South,5,1465,149.62
336,2024-10-27,Monitor,Accessories,West,2,366,31.23
337,2024-07-19,Camera,Electronics,South,5,3135,277.28
338,2024-03-03,Keyboard,Accessories,North,2,630,161.04
339,2024-04-12,Monitor,Accessories,South,1,213,42.94
340,2024-06-20,Monitor,Accessories,North,4,3792,1092.85
341,2023-06-21,Mouse,Accessories,East,2,1932,109.07
342,2023-01-25,Keyboard,Accessories,West,4,4152,317.28
343,2024-02-17,Smartphone,Electronics,North,7,3612,529.57
344,2024-09-09,Smartphone,Electronics,East,2,2258,280.76
345,2022-07-09,Camera,Electronics,South,3,594,47.73
346,2023-09-01,Headphones,Accessories,West,7,8071,1799.06
347,2024-03-30,Keyboard,Accessories,North,7,5838,631.45
348,2024-12-22,Keyboard,Accessories,North,4,692,181.31
349,2024-09-08,Keyboard,Accessories,South,3,1704,309.06
350,2023-01-21,Printer,Office,South,5,3235,941.24
351,2023-10-12,Mouse,Accessories,East,6,4746,545.57
352,2022-08-01,Smartwatch,Electronics,South,8,7600,788.88
353,2023-11-03,Smartphone,Electronics,West,5,1935,128.01
354,2023-12-04,Laptop,Electronics,North,3,1638,306.29
355,2023-06-30,Keyboard,Accessories,West,7,4746,816.6
356,2023-02-01,Smartphone,Electronics,North,8,4824,1187.93
357,2022-05-09,Camera,Electronics,South,1,1193,153.72
358,2023-12-16,Laptop,Electronics,East,2,562,92.94
359,2022-03-20,Smartphone,Electronics,North,8,6200,1296.84
360,2024-07-28,Printer,Office,North,8,4128,315.48
361,2022-03-28,Printer,Office,East,5,5405,326.56
362,2024-11-06,Laptop,Electronics,North,3,1371,104.66
363,2023-01-01,Keyboard,Accessories,West,5,1405,194.33
364,2023-03-18,Keyboard,Accessories,North,3,1644,158.32
365,2024-09-18,Mouse,Accessories,West,6,3414,396.92
366,2024-08-19,Laptop,Electronics,East,8,3272,674.57
367,2022-06-18,Smartphone,Electronics,North,3,2655,646.91
368,2022-05-29,Smartwatch,Electronics,West,7,1673,458.32
369,2022-06-09,Tablet,Electronics,East,2,846,145.09
370,2023-05-03,Smartphone,Electronics,East,1,985,196.64
371,2023-11-17,Smartwatch,Electronics,North,9,7551,894.4
372,2022-02-08,Tablet,Electronics,North,5,855,217.16
373,2023-10-23,Camera,Electronics,South,2,396,94.55
374,2022-08-24,Tablet,Electronics,West,8,2296,560.48
375,2024-05-09,Monitor,Accessories,North,6,1704,199.94
376,2023-03-12,Smartphone,Electronics,East,2,1180,261.16
377,2022-10-05,Smartphone,Electronics,East,3,411,55.73
378,2022-01-19,Mouse,Accessories,East,1,745,151.22
379,2022-05-09,Printer,Office,West,9,10656,961.3
380,2024-05-23,Mouse,Accessories,South,3,1494,178.5
381,2024-07-11,Camera,Electronics,South,5,1755,358.01
382,2022-08-22,Camera,Electronics,South,9,4941,894.52
383,2024-11-03,Smartwatch,Electronics,North,6,6510,1539.18
384,2024-10-11,Smartphone,Electronics,South,5,5465,719.92
385,2024-11-09,Tablet,Electronics,South,3,3522,285.91
386,2024-04-01,Tablet,Electronics,West,6,1656,139.86
387,2022-07-07,Printer,Office,North,5,1255,257.15
388,2023-06-10,Keyboard,Accessories,East,1,1192,320.13
389,2023-05-15,Tablet,Electronics,West,5,1925,204.74
390,2022-06-08,Tablet,Electronics,West,8,1688,337.33
391,2023-06-26,Headphones,Accessories,South,1,260,16.81
392,2022-01-19,Monitor,Accessories,West,5,4880,1250.66
393,2024-04-10,Keyboard,Accessories,West,7,1134,179.74
394,2022-06-10,Laptop,Electronics,North,9,9621,1201.29
395,2023-02-03,Monitor,Accessories,South,4,2836,698.83
396,2023-05-15,Printer,Office,North,9,5859,1153.89
397,2022-09-11,Smartwatch,Electronics,South,2,2044,460.03
398,2023-07-01,Monitor,Accessories,South,1,612,174.52
399,2022-02-18,Smartwatch,Electronics,North,3,1890,492.31
400,2023-09-30,Smartwatch,Electronics,East,5,2025,168.82
401,2023-09-04,Printer,Office,South,2,1960,312.06
402,2022-07-07,Camera,Electronics,North,6,4410,893.27
403,2024-07-14,Keyboard,Accessories,West,8,8272,2391.88
404,2022-09-27,Smartwatch,Electronics,West,6,5712,638.29
405,2024-04-20,Smartwatch,Electronics,North,6,1524,178.36
406,2024-05-24,Keyboard,Accessories,North,8,5160,1057.41
407,2024-12-29,Mouse,Accessories,East,4,2956,451.6
408,2023-05-07,Smartphone,Electronics,West,8,7944,2257.73
409,2024-09-10,Camera,Electronics,North,5,1815,535.22
410,2023-03-21,Headphones,Accessories,North,3,2706,546.97
411,2023-05-05,Laptop,Electronics,North,2,1356,144.18
412,2023-07-27,Printer,Office,South,6,6384,1189.19
413,2023-06-13,Smartwatch,Electronics,South,9,4248,964.12
414,2024-05-02,Monitor,Accessories,North,6,3954,676.82
415,2024-04-21,Smartphone,Electronics,South,6,7110,739.6
416,2023-07-25,Headphones,Accessories,South,7,8113,995.03
417,2023-01-26,Headphones,Accessories,North,3,1830,183.62
418,2023-01-11,Keyboard,Accessories,West,4,3732,671.19
419,2024-09-27,Mouse,Accessories,West,6,4062,1087.17
420,2024-12-03,Smartwatch,Electronics,North,1,496,93.31
421,2023-08-24,Smartwatch,Electronics,East,4,1104,84.31
422,2023-05-19,Smartphone,Electronics,West,3,2274,662.0
423,2022-06-13,Smartwatch,Electronics,North,8,4456,1106.04
424,2022-08-26,Mouse,Accessories,West,8,4928,1038.18
425,2023-01-22,Smartphone,Electronics,North,4,1740,224.79
426,2022-08-08,Headphones,Accessories,North,2,178,31.46
427,2023-11-19,Printer,Office,East,8,5296,1234.81
428,2023-06-28,Mouse,Accessories,North,4,4156,847.09
429,2024-10-09,Printer,Office,North,1,624,106.92
430,2022-09-04,Smartphone,Electronics,West,4,3892,1052.72
431,2024-07-18,Mouse,Accessories,South,9,1620,294.6
432,2022-09-22,Mouse,Accessories,West,3,2250,301.97
433,2024-07-31,Monitor,Accessories,West,2,1390,316.31
434,2023-04-21,Camera,Electronics,South,5,5155,1325.16
435,2022-07-09,Smartwatch,Electronics,North,5,1025,262.91
436,2024-07-31,Mouse,Accessories,South,3,1785,244.52
437,2022-09-30,Smartwatch,Electronics,North,9,2952,605.85
438,2024-12-25,Headphones,Accessories,East,1,773,181.52
439,2023-03-30,Tablet,Electronics,North,8,1640,361.48
440,2023-10-02,Keyboard,Accessories,East,1,1017,69.33
441,2022-05-23,Headphones,Accessories,East,4,1964,349.91
442,2023-04-05,Mouse,Accessories,North,3,2994,638.59
443,2023-10-08,Printer,Office,East,9,8046,2210.33
444,2022-05-22,Printer,Office,West,2,1874,271.5
445,2023-08-19,Mouse,Accessories,North,8,6008,871.76
446,2023-09-06,Camera,Electronics,East,8,7240,411.19
447,2024-06-17,Monitor,Accessories,South,9,1188,348.31
448,2024-12-22,Headphones,Accessories,North,9,2997,163.34
449,2023-02-02,Printer,Office,West,9,7524,2017.85
450,2022-10-13,Monitor,Accessories,North,5,3625,268.73
451,2024-03-31,Laptop,Electronics,East,8,6952,871.2
452,2023-05-29,Camera,Electronics,North,9,1053,283.58
453,2024-12-21,Monitor,Accessories,North,9,6696,1224.22
454,2024-10-09,Headphones,Accessories,North,2,1420,93.59
455,2023-12-29,Camera,Electronics,West,9,9972,2566.01
456,2022-11-28,Laptop,Electronics,South,8,3136,494.26
457,2023-02-10,Camera,Electronics,West,3,225,20.52
458,2022-05-12,Mouse,Accessories,East,3,1662,375.04
459,2024-05-03,Printer,Office,West,4,500,85.96
460,2022-08-02,Smartphone,Electronics,North,8,3168,747.33
461,2023-12-31,Smartphone,Electronics,East,1,622,104.57
462,2022-04-03,Tablet,Electronics,North,3,1233,361.12
463,2024-01-19,Laptop,Electronics,West,3,573,116.14
464,2022-02-18,Tablet,Electronics,South,1,702,129.34
